Timestamp,Time of Day (min),Weather ID (#),Model,Label,Confidence (%),Size (px^2),AEB (bool),DTC (m),Throttle (%),Steering (%),Brake (%),Handbrake (%),PosX (m),PosY (m),PosZ (m),RotX (rad),RotY (rad),RotZ (rad),Collisions (#)
2024-04-06 17:59:43.444702,780,4,yolov3-tiny,,0.0,,0,148.03,0.0,0.0,0.0,0.0,-208.24,-263.091,342.014,0.001,0.004,1.802,0
2024-04-06 17:59:43.809394,780,4,yolov3-tiny,,0.0,,0,148.03,0.2,0.0,0.0,0.0,-208.24,-263.091,342.014,0.001,0.004,1.802,0
2024-04-06 17:59:44.065945,780,4,yolov3-tiny,,0.0,,0,148.02,0.2,0.0,0.0,0.0,-208.24,-263.086,342.014,0.001,0.004,1.802,0
2024-04-06 17:59:44.318670,780,4,yolov3-tiny,,0.0,,0,148.02,0.2,0.0,0.0,0.0,-208.243,-263.078,342.014,0.001,0.004,1.802,0
2024-04-06 17:59:44.633066,780,4,yolov3-tiny,,0.0,,0,148.0,0.2,0.0,0.0,0.0,-208.247,-263.057,342.014,0.001,0.004,1.802,0
2024-04-06 17:59:44.863853,780,4,yolov3-tiny,,0.0,,0,147.98,0.2,0.0,0.0,0.0,-208.252,-263.039,342.014,0.002,0.004,1.802,0
2024-04-06 17:59:45.107990,780,4,yolov3-tiny,,0.0,,0,147.95,0.2,0.0,0.0,0.0,-208.258,-263.015,342.014,0.002,0.004,1.802,0
2024-04-06 17:59:45.347191,780,4,yolov3-tiny,,0.0,,0,147.92,0.2,0.0,0.0,0.0,-208.264,-262.987,342.013,0.001,0.004,1.802,0
2024-04-06 17:59:45.583089,780,4,yolov3-tiny,,0.0,,0,147.89,0.2,0.0,0.0,0.0,-208.272,-262.954,342.013,0.001,0.004,1.802,0
2024-04-06 17:59:45.859488,780,4,yolov3-tiny,,0.0,,0,147.85,0.2,0.0,0.0,0.0,-208.281,-262.919,342.013,0.002,0.004,1.802,0
2024-04-06 17:59:46.176744,780,4,yolov3-tiny,,0.0,,0,147.79,0.2,0.0,0.0,0.0,-208.294,-262.856,342.012,0.001,0.004,1.802,0
2024-04-06 17:59:46.441718,780,4,yolov3-tiny,,0.0,,0,147.74,0.2,0.0,0.0,0.0,-208.307,-262.808,342.012,0.001,0.004,1.802,0
2024-04-06 17:59:46.963765,780,4,yolov3-tiny,,0.0,,0,147.68,0.2,0.0,0.0,0.0,-208.319,-262.753,342.012,0.001,0.004,1.802,0
2024-04-06 17:59:47.199987,780,4,yolov3-tiny,,0.0,,0,147.62,0.2,0.0,0.0,0.0,-208.333,-262.695,342.012,0.001,0.004,1.802,0
2024-04-06 17:59:47.426028,780,4,yolov3-tiny,,0.0,,0,147.56,0.2,0.0,0.0,0.0,-208.348,-262.633,342.011,0.001,0.004,1.802,0
2024-04-06 17:59:47.657455,780,4,yolov3-tiny,,0.0,,0,147.49,0.2,0.0,0.0,0.0,-208.362,-262.568,342.011,0.001,0.004,1.802,0
2024-04-06 17:59:47.904228,780,4,yolov3-tiny,,0.0,,0,147.42,0.2,0.0,0.0,0.0,-208.38,-262.496,342.011,0.001,0.004,1.802,0
2024-04-06 17:59:48.172969,780,4,yolov3-tiny,,0.0,,0,147.34,0.2,0.0,0.0,0.0,-208.398,-262.417,342.01,0.001,0.004,1.802,0
2024-04-06 17:59:48.402824,780,4,yolov3-tiny,,0.0,,0,147.25,0.2,0.0,0.0,0.0,-208.418,-262.333,342.01,0.002,0.004,1.802,0
2024-04-06 17:59:48.657304,780,4,yolov3-tiny,,0.0,,0,147.16,0.2,0.0,0.0,0.0,-208.439,-262.245,342.01,0.002,0.004,1.802,0
2024-04-06 17:59:48.903664,780,4,yolov3-tiny,,0.0,,0,147.07,0.2,0.0,0.0,0.0,-208.46,-262.152,342.009,0.001,0.004,1.802,0
2024-04-06 17:59:49.165130,780,4,yolov3-tiny,,0.0,,0,146.96,0.2,0.0,0.0,0.0,-208.484,-262.054,342.009,0.001,0.004,1.802,0
2024-04-06 17:59:49.405272,780,4,yolov3-tiny,,0.0,,0,146.86,0.2,0.0,0.0,0.0,-208.508,-261.95,342.008,0.001,0.004,1.802,0
2024-04-06 17:59:49.648698,780,4,yolov3-tiny,,0.0,,0,146.75,0.2,0.0,0.0,0.0,-208.533,-261.843,342.008,0.002,0.004,1.802,0
